attendance,purchase_rate,customers,purchase_amount,revenue,profit
159,0.374018,66,7.34,484.49,234.49
150,0.613485,92,4.00,367.64,117.64
99,0.458426,45,7.76,349.08,99.08
87,0.446494,43,3.03,130.12,-119.88
143,0.576964,88,7.83,689.14,439.14
123,0.425952,59,7.44,439.19,189.19
106,0.470471,44,3.28,144.19,-105.81
125,0.405418,48,5.40,259.06,9.06
166,0.363312,55,6.75,371.38,121.38
180,0.473235,87,3.58,311.16,61.16
112,0.377628,39,3.83,149.43,-100.57
165,0.389791,66,5.73,378.07,128.07
109,0.549978,67,3.83,256.53,6.53
112,0.446872,47,5.43,255.16,5.16
117,0.673186,69,3.62,249.94,-0.06
127,0.597122,73,6.35,463.59,213.59
148,0.421016,71,3.01,213.45,-36.55
123,0.513814,69,4.60,317.14,67.14
156,0.408837,61,4.41,269.30,19.30
154,0.413515,62,4.78,296.58,46.58
138,0.637211,100,6.84,683.67,433.67
154,0.491036,79,7.92,625.41,375.41
140,0.560164,81,4.64,375.78,125.78
94,0.690270,59,4.23,249.28,-0.72
179,0.390562,68,5.39,366.49,116.49
123,0.572471,69,5.36,369.75,119.75
144,0.403829,55,5.34,293.47,43.47
178,0.660606,120,4.63,555.91,305.91
159,0.690902,115,5.43,624.41,374.41
151,0.530717,69,5.60,386.41,136.41
173,0.430447,83,7.99,663.56,413.56
152,0.377355,52,6.99,363.57,113.57
146,0.461409,66,6.29,415.39,165.39
97,0.467544,45,3.37,151.58,-98.42
125,0.317711,39,5.50,214.48,-35.52
167,0.606627,97,4.52,437.97,187.97
91,0.410424,34,5.25,178.58,-71.42
100,0.630314,73,3.65,266.10,16.10
150,0.318957,52,4.67,242.82,-7.18
84,0.456463,36,4.45,160.04,-89.96
145,0.333536,44,4.35,191.26,-58.74
98,0.441289,45,3.25,146.43,-103.57
114,0.532227,62,4.31,267.25,17.25
84,0.456635,43,6.16,264.95,14.95
101,0.324593,33,6.47,213.56,-36.44
103,0.342069,32,6.46,206.58,-43.42
149,0.503870,80,6.62,529.63,279.63
138,0.553737,72,5.54,398.84,148.84
98,0.508260,52,7.80,405.62,155.62
178,0.330836,73,4.12,300.95,50.95
126,0.337552,42,5.65,237.11,-12.89
123,0.313411,33,5.01,165.19,-84.81
91,0.693374,63,4.32,272.41,22.41
144,0.602939,76,6.83,518.74,268.74
169,0.470263,67,3.36,225.23,-24.77
157,0.645636,97,4.36,423.00,173.00
130,0.350666,46,6.75,310.47,60.47
174,0.641727,111,6.37,707.22,457.22
134,0.494324,74,4.51,333.65,83.65
91,0.306588,31,6.08,188.52,-61.48
107,0.498344,48,6.59,316.16,66.16
138,0.418431,54,3.60,194.58,-55.42
163,0.373897,72,7.03,506.47,256.47
149,0.364971,56,3.10,173.33,-76.67
119,0.401708,43,6.16,264.73,14.73
83,0.366799,30,5.46,163.88,-86.12
108,0.428169,49,3.66,179.15,-70.85
180,0.376260,64,6.02,385.16,135.16
174,0.450832,69,4.79,330.51,80.51
92,0.357529,26,3.98,103.35,-146.65
81,0.399644,40,5.55,221.81,-28.19
148,0.342919,56,3.30,184.75,-65.25
85,0.479949,38,3.96,150.33,-99.67
166,0.535479,76,7.89,599.27,349.27
112,0.582167,62,4.17,258.56,8.56
103,0.455523,40,5.66,226.37,-23.63
147,0.550690,89,7.41,659.45,409.45
123,0.677128,84,3.98,334.49,84.49
176,0.320976,59,5.14,303.07,53.07
156,0.553142,88,6.62,582.75,332.75
140,0.609901,80,4.28,342.56,92.56
90,0.450123,40,6.63,265.28,15.28
146,0.327840,46,3.17,145.68,-104.32
143,0.534158,73,7.83,571.89,321.89
102,0.524766,51,7.08,360.85,110.85
93,0.495794,44,5.70,250.73,0.73
91,0.617769,53,3.23,171.21,-78.79
171,0.421504,66,4.09,269.70,19.70
159,0.602005,99,3.53,349.37,99.37
91,0.330180,30,5.98,179.55,-70.45
120,0.684485,88,7.85,690.60,440.60
149,0.415053,76,5.38,408.53,158.53
97,0.364648,38,7.09,269.24,19.24
180,0.450037,78,7.46,581.64,331.64
80,0.436816,26,7.11,184.74,-65.26
114,0.582881,69,7.01,483.68,233.68
85,0.409878,38,6.33,240.36,-9.64
178,0.322943,55,4.38,240.85,-9.15
152,0.373735,55,4.27,235.03,-14.97
87,0.427690,35,3.13,109.52,-140.48
108,0.678383,72,6.31,454.48,204.48
86,0.413500,36,4.60,165.59,-84.41
144,0.405628,67,7.13,477.45,227.45
112,0.333237,37,3.17,117.31,-132.69
153,0.649515,96,6.56,629.41,379.41
148,0.493043,70,3.83,268.08,18.08
153,0.460449,66,6.01,396.83,146.83
123,0.359950,48,4.96,237.89,-12.11
146,0.395487,67,5.56,372.81,122.81
105,0.545917,66,6.22,410.56,160.56
84,0.567003,47,6.30,296.03,46.03
164,0.402749,69,6.58,453.68,203.68
86,0.503501,41,4.32,177.05,-72.95
131,0.478096,68,4.37,296.95,46.95
170,0.323552,51,6.15,313.55,63.55
171,0.690356,124,3.71,459.88,209.88
80,0.616906,54,7.93,428.05,178.05
126,0.579132,74,7.66,566.93,316.93
148,0.499135,68,6.93,471.33,221.33
133,0.485238,61,7.21,439.97,189.97
136,0.368629,50,7.23,361.56,111.56
90,0.383456,26,5.33,138.61,-111.39
155,0.617933,101,4.08,411.64,161.64
109,0.675477,68,3.88,263.52,13.52
164,0.442805,73,6.39,466.31,216.31
165,0.431602,69,4.09,282.40,32.40
136,0.548268,74,5.89,435.91,185.91
155,0.517680,80,6.19,495.26,245.26
179,0.482666,89,7.13,634.28,384.28
135,0.472287,62,6.12,379.13,129.13
139,0.667874,82,5.81,476.41,226.41
149,0.315046,51,3.51,178.85,-71.15
91,0.687314,61,3.44,210.04,-39.96
99,0.482943,36,4.27,153.83,-96.17
121,0.416823,42,7.60,319.40,69.40
100,0.467332,50,6.03,301.62,51.62
137,0.631414,90,4.64,417.73,167.73
134,0.329221,41,3.76,154.12,-95.88
90,0.448666,33,7.73,255.03,5.03
81,0.631784,58,5.89,341.89,91.89
84,0.560244,52,4.33,224.96,-25.04
176,0.327076,62,3.75,232.65,-17.35
155,0.650363,110,3.40,374.44,124.44
124,0.301168,33,6.45,212.79,-37.21
163,0.409338,70,4.77,333.98,83.98
95,0.566275,54,7.55,407.74,157.74
171,0.616912,107,7.05,754.56,504.56
164,0.526555,95,7.45,707.48,457.48
157,0.610167,108,4.45,480.48,230.48
137,0.658142,87,7.76,675.30,425.30
136,0.390198,52,7.40,385.03,135.03
97,0.501411,45,7.29,328.27,78.27
153,0.584457,81,4.40,356.15,106.15
139,0.437149,63,7.46,470.16,220.16
88,0.653441,59,7.76,457.81,207.81
105,0.350969,31,5.76,178.65,-71.35
157,0.534502,81,7.45,603.64,353.64
103,0.679530,66,3.12,205.77,-44.23
170,0.396895,61,3.81,232.39,-17.61
147,0.559292,70,6.37,445.67,195.67
175,0.337530,57,6.26,356.95,106.95
174,0.579461,89,5.05,449.81,199.81
89,0.492962,45,4.25,191.40,-58.60
161,0.372618,42,7.48,314.05,64.05
103,0.478981,48,3.13,150.13,-99.87
101,0.458673,45,4.04,181.96,-68.04
110,0.370434,31,6.28,194.56,-55.44
89,0.448321,43,3.52,151.51,-98.49
82,0.411515,37,4.62,171.03,-78.97
91,0.345627,39,6.48,252.67,2.67
80,0.598077,42,4.83,202.68,-47.32
132,0.681759,89,4.82,428.71,178.71
152,0.696370,106,3.74,396.24,146.24
90,0.443873,28,7.59,212.53,-37.47
119,0.562539,68,3.53,239.92,-10.08
155,0.685247,106,7.61,806.63,556.63
116,0.639757,83,3.96,328.36,78.36
165,0.389222,64,3.13,200.38,-49.62
164,0.390088,64,7.25,464.24,214.24
100,0.694506,72,4.45,320.30,70.30
147,0.660065,96,5.21,500.38,250.38
117,0.606403,70,5.84,408.79,158.79
175,0.344132,65,3.00,195.22,-54.78
152,0.624866,97,4.10,397.80,147.80
87,0.493198,41,5.31,217.61,-32.39
117,0.329058,34,3.21,109.04,-140.96
94,0.664325,64,3.26,208.93,-41.07
119,0.327217,40,5.27,210.94,-39.06
118,0.347272,41,7.59,311.23,61.23
164,0.334393,52,6.94,360.85,110.85
108,0.494333,52,6.32,328.52,78.52
166,0.407623,74,7.31,540.81,290.81
83,0.517819,42,3.13,131.42,-118.58
122,0.412499,45,4.25,191.41,-58.59
123,0.462083,57,7.61,433.58,183.58
82,0.492334,46,5.60,257.61,7.61
156,0.399230,52,6.52,339.23,89.23
127,0.400327,50,5.75,287.46,37.46
167,0.547127,88,5.96,524.87,274.87
104,0.331222,39,6.37,248.28,-1.72
80,0.618826,49,3.02,147.94,-102.06
164,0.375486,77,3.73,287.52,37.52
156,0.430690,63,3.36,211.37,-38.63
132,0.418794,50,5.64,281.87,31.87
144,0.369936,52,5.26,273.46,23.46
158,0.349785,53,6.54,346.59,96.59
124,0.358200,47,7.28,342.07,92.07
85,0.439213,30,3.40,101.99,-148.01
146,0.461487,57,5.30,302.27,52.27
95,0.360157,32,6.17,197.33,-52.67
134,0.648128,90,7.22,649.43,399.43
153,0.326004,53,3.73,197.87,-52.13
116,0.642060,71,4.61,327.08,77.08
140,0.507140,76,7.39,561.64,311.64
107,0.605169,64,6.12,391.72,141.72
110,0.342359,29,3.64,105.53,-144.47
172,0.480303,90,6.55,589.26,339.26
124,0.566577,67,3.52,236.00,-14.00
98,0.614087,60,5.21,312.57,62.57
110,0.573870,56,3.29,184.23,-65.77
90,0.574641,48,4.71,226.07,-23.93
147,0.403519,60,6.61,396.78,146.78
91,0.509695,42,6.66,279.72,29.72
175,0.517551,99,7.91,782.85,532.85
164,0.685095,114,4.05,461.47,211.47
179,0.621887,114,5.77,657.89,407.89
167,0.311311,50,3.76,188.06,-61.94
128,0.541912,72,4.99,359.37,109.37
135,0.443972,63,5.50,346.60,96.60
147,0.432226,59,7.74,456.89,206.89
95,0.412243,30,4.33,129.89,-120.11
100,0.668867,58,5.78,335.25,85.25
105,0.507555,53,5.10,270.41,20.41
155,0.681016,105,7.83,822.01,572.01
118,0.638606,77,7.55,581.51,331.51
130,0.615610,88,7.55,664.55,414.55
117,0.506004,70,5.04,353.00,103.00
85,0.324640,21,3.71,77.94,-172.06
142,0.427710,64,5.46,349.63,99.63
110,0.653908,69,7.28,502.10,252.10
179,0.360223,74,4.59,339.87,89.87
135,0.618388,81,4.59,371.97,121.97
138,0.400695,56,7.91,443.20,193.20
144,0.591727,83,4.72,392.13,142.13
171,0.520062,88,4.20,369.60,119.60
178,0.612007,105,4.37,458.53,208.53
161,0.691944,119,6.86,816.24,566.24
177,0.539121,99,4.62,457.35,207.35
166,0.618552,112,5.82,652.12,402.12
124,0.671878,83,4.67,387.43,137.43
116,0.580523,78,6.70,522.31,272.31
162,0.345671,54,4.46,240.85,-9.15
87,0.688781,61,7.78,474.82,224.82
92,0.693331,67,4.28,286.84,36.84
176,0.370933,65,3.11,202.37,-47.63
169,0.341633,65,5.91,384.11,134.11
121,0.347594,38,4.41,167.49,-82.51
151,0.635277,96,3.38,324.91,74.91
138,0.515449,84,6.91,580.35,330.35
178,0.696970,117,5.12,598.98,348.98
120,0.398577,43,7.45,320.31,70.31
156,0.548410,97,6.82,661.15,411.15
89,0.683130,59,5.39,317.75,67.75
88,0.657314,61,7.24,441.66,191.66
111,0.486026,62,5.71,354.32,104.32
176,0.540743,89,6.72,598.38,348.38
159,0.319710,50,3.59,179.47,-70.53
114,0.340292,37,4.20,155.48,-94.52
116,0.597520,64,5.87,375.88,125.88
95,0.403514,36,6.20,223.32,-26.68
86,0.425086,43,5.36,230.43,-19.57
101,0.562470,53,3.74,198.19,-51.81
106,0.687848,72,5.38,387.07,137.07
101,0.442135,48,4.78,229.28,-20.72
135,0.460890,62,4.12,255.59,5.59
123,0.642809,78,5.09,396.99,146.99
160,0.431962,73,6.90,503.96,253.96
149,0.338659,51,4.27,217.74,-32.26
82,0.327005,30,6.24,187.24,-62.76
172,0.449869,67,6.73,450.79,200.79
148,0.311984,37,7.83,289.88,39.88
177,0.475273,82,4.01,329.01,79.01
143,0.405386,51,6.11,311.50,61.50
131,0.345223,46,7.42,341.38,91.38
124,0.692981,84,7.50,629.83,379.83
148,0.494810,75,5.63,422.17,172.17
175,0.601864,96,3.56,341.74,91.74
130,0.648933,87,4.02,349.52,99.52
146,0.634689,91,6.60,600.53,350.53
104,0.641239,65,5.20,338.24,88.24
146,0.477225,70,4.71,329.78,79.78
116,0.402318,43,5.76,247.57,-2.43
172,0.481151,76,5.43,412.42,162.42
100,0.670987,69,5.65,389.91,139.91
174,0.579078,109,3.85,420.04,170.04
84,0.444994,31,3.39,105.06,-144.94
177,0.550676,98,3.17,310.26,60.26
148,0.690768,106,6.90,731.52,481.52
162,0.606318,91,7.84,713.05,463.05
162,0.480725,76,6.46,490.95,240.95
120,0.413906,54,4.34,234.46,-15.54
105,0.465476,50,6.35,317.62,67.62
174,0.474163,84,6.91,580.76,330.76
115,0.343457,42,5.14,215.95,-34.05
148,0.360446,56,3.34,187.08,-62.92
142,0.475825,55,6.98,383.92,133.92
147,0.601279,85,3.03,257.62,7.62
167,0.563287,85,7.95,675.46,425.46
115,0.542247,62,7.98,494.50,244.50
129,0.448649,61,4.94,301.15,51.15
85,0.613352,61,7.99,487.26,237.26
158,0.620430,104,7.29,757.68,507.68
152,0.661827,108,4.22,455.50,205.50
118,0.536892,67,6.09,407.86,157.86
129,0.434168,59,4.29,253.25,3.25
126,0.305244,31,6.77,209.77,-40.23
175,0.450325,81,6.81,551.34,301.34
142,0.667634,92,3.02,278.16,28.16
147,0.559626,86,5.43,466.67,216.67
102,0.677615,66,5.52,364.04,114.04
82,0.334384,34,4.48,152.36,-97.64
177,0.306854,55,5.07,279.11,29.11
101,0.598143,69,6.32,436.00,186.00
179,0.579335,99,4.47,442.25,192.25
103,0.539288,47,3.52,165.56,-84.44
174,0.645254,102,5.15,525.65,275.65
105,0.472977,43,7.15,307.46,57.46
163,0.430303,65,5.55,360.68,110.68
89,0.615481,52,8.00,415.84,165.84
156,0.428978,62,5.56,345.01,95.01
87,0.303389,25,4.00,100.08,-149.92
158,0.370353,57,4.23,241.03,-8.97
96,0.450923,44,7.83,344.33,94.33
86,0.306938,23,4.65,106.85,-143.15
132,0.506990,62,5.76,356.90,106.90
122,0.610658,80,6.50,519.63,269.63
145,0.523305,74,7.08,523.68,273.68
158,0.395717,66,6.02,397.41,147.41
151,0.456174,68,5.75,390.94,140.94
145,0.546103,76,6.52,495.27,245.27
105,0.495579,48,6.97,334.33,84.33
94,0.441433,40,4.03,161.35,-88.65
155,0.690997,110,3.83,421.28,171.28
137,0.434907,57,4.54,258.97,8.97
124,0.458907,52,6.03,313.66,63.66
177,0.655662,122,4.72,575.39,325.39
94,0.305410,24,6.91,165.85,-84.15
91,0.555034,54,4.43,239.25,-10.75
156,0.694202,114,3.06,349.21,99.21
173,0.612194,106,3.02,320.61,70.61
161,0.302269,55,6.32,347.46,97.46
89,0.367825,35,3.34,117.04,-132.96
124,0.518152,54,7.33,395.84,145.84
109,0.368929,33,3.95,130.19,-119.81
160,0.461539,68,4.91,333.76,83.76
171,0.308641,53,6.47,342.92,92.92
82,0.310301,22,3.02,66.43,-183.57
85,0.410925,34,7.08,240.71,-9.29
96,0.541225,54,6.05,326.51,76.51
112,0.415371,51,4.25,216.73,-33.27
93,0.594436,55,7.17,394.59,144.59
180,0.445804,91,6.99,635.80,385.80
118,0.306827,42,4.52,190.02,-59.98
89,0.669563,62,5.52,342.00,92.00
174,0.671450,117,4.10,479.97,229.97
125,0.387460,54,6.87,371.20,121.20
93,0.674210,62,3.48,216.00,-34.00
162,0.309695,52,4.16,216.26,-33.74
166,0.547708,86,6.13,527.32,277.32
84,0.537608,53,4.97,263.20,13.20
157,0.316906,56,5.79,324.18,74.18
161,0.350865,56,6.27,351.18,101.18
105,0.408974,41,3.36,137.93,-112.07
153,0.505406,72,3.62,260.65,10.65
83,0.325885,25,6.63,165.80,-84.20
93,0.307335,26,6.13,159.44,-90.56
100,0.672468,66,3.26,215.46,-34.54
166,0.639828,101,6.74,680.87,430.87
105,0.577109,58,6.86,398.03,148.03
142,0.522438,76,3.16,240.01,-9.99
112,0.333830,38,6.88,261.33,11.33
97,0.677569,73,6.23,454.70,204.70
170,0.657217,101,7.08,715.21,465.21
126,0.473374,61,6.54,398.76,148.76
142,0.494465,74,6.76,500.57,250.57
138,0.597374,83,4.84,401.97,151.97
152,0.315250,51,7.28,371.05,121.05
114,0.389545,46,7.03,323.61,73.61
168,0.446954,87,7.94,690.43,440.43
110,0.684108,81,6.11,494.87,244.87
84,0.421114,33,5.77,190.27,-59.73
145,0.664216,94,6.73,632.54,382.54
112,0.325526,34,6.50,221.09,-28.91
146,0.588459,91,7.89,717.92,467.92
131,0.312452,44,4.83,212.38,-37.62
174,0.562274,102,6.14,626.21,376.21
167,0.505205,77,5.26,404.92,154.92
141,0.470692,53,5.97,316.58,66.58
90,0.356167,31,4.94,153.19,-96.81
158,0.478604,69,5.24,361.22,111.22
163,0.404825,69,6.55,452.23,202.23
104,0.620896,71,4.74,336.50,86.50
81,0.349063,29,5.10,147.85,-102.15
150,0.459246,57,4.30,245.05,-4.95
80,0.523769,42,4.21,176.83,-73.17
108,0.502778,56,5.16,289.17,39.17
109,0.670637,73,5.11,373.30,123.30
142,0.492736,60,5.63,337.83,87.83
148,0.671915,104,5.51,572.81,322.81
118,0.496266,60,5.26,315.56,65.56
104,0.577678,59,3.64,214.82,-35.18
160,0.465004,73,4.24,309.43,59.43
108,0.684196,71,5.07,359.88,109.88
172,0.610719,95,7.98,758.51,508.51
170,0.534017,87,5.49,477.36,227.36
163,0.504997,91,7.34,667.97,417.97
153,0.378638,58,6.58,381.61,131.61
119,0.382433,40,4.53,181.35,-68.65
130,0.423740,51,7.55,385.22,135.22
136,0.312915,43,7.61,327.17,77.17
158,0.401677,63,6.09,383.82,133.82
87,0.552981,56,4.74,265.70,15.70
127,0.614446,84,7.32,614.98,364.98
82,0.582725,44,4.56,200.52,-49.48
113,0.396320,43,4.92,211.36,-38.64
140,0.482084,66,5.63,371.55,121.55
127,0.540492,74,3.31,245.05,-4.95
83,0.500859,49,5.28,258.69,8.69
162,0.556492,94,5.86,550.39,300.39
140,0.587626,87,7.76,675.43,425.43
165,0.688540,118,4.30,507.10,257.10
174,0.415892,69,5.40,372.28,122.28
154,0.697268,100,3.39,338.60,88.60
155,0.384132,64,3.46,221.35,-28.65
89,0.586148,49,7.82,383.35,133.35
142,0.605704,91,6.62,602.79,352.79
113,0.339680,31,3.96,122.64,-127.36
81,0.411629,29,3.62,104.86,-145.14
165,0.685132,115,4.49,516.06,266.06
118,0.316395,29,7.29,211.34,-38.66
145,0.510765,79,5.42,428.36,178.36
146,0.340119,55,5.77,317.43,67.43
142,0.473625,66,3.73,246.12,-3.88
113,0.447357,49,3.68,180.24,-69.76
169,0.681526,122,5.76,703.14,453.14
159,0.361985,46,4.61,212.02,-37.98
161,0.576065,93,4.02,373.40,123.40
112,0.465287,62,7.48,463.75,213.75
135,0.539441,72,3.71,266.84,16.84
145,0.326224,45,3.14,141.41,-108.59
93,0.449310,35,7.93,277.58,27.58
101,0.307425,30,6.55,196.42,-53.58
120,0.626557,74,6.65,492.34,242.34
116,0.376825,43,5.95,255.76,5.76
149,0.558857,82,5.79,474.84,224.84
130,0.316643,33,7.83,258.54,8.54
157,0.519237,87,7.33,637.62,387.62
127,0.578146,79,3.41,269.46,19.46
151,0.393493,56,6.59,369.03,119.03
80,0.554428,39,5.63,219.44,-30.56
149,0.333593,57,3.23,184.06,-65.94
127,0.559567,69,5.43,374.85,124.85
102,0.675068,61,4.81,293.50,43.50
168,0.449778,72,7.87,566.78,316.78
147,0.646734,104,5.46,567.72,317.72
88,0.463469,37,7.34,271.64,21.64
178,0.646311,126,7.20,907.44,657.44
163,0.569134,92,6.88,633.14,383.14
137,0.650514,91,6.37,579.66,329.66
101,0.568931,50,3.36,168.14,-81.86
123,0.611111,76,5.75,436.78,186.78
135,0.614413,83,7.93,658.29,408.29
131,0.618987,77,3.35,257.71,7.71
107,0.615864,73,5.41,395.12,145.12
117,0.514437,47,7.83,368.20,118.20
169,0.585350,93,4.60,427.87,177.87
170,0.654910,112,5.19,580.89,330.89
118,0.494944,62,3.80,235.59,-14.41
169,0.424546,78,5.11,398.38,148.38
176,0.487403,83,5.60,465.10,215.10
98,0.472158,48,5.99,287.73,37.73
152,0.411969,64,4.41,282.16,32.16
130,0.620651,82,6.90,566.18,316.18
164,0.442643,72,6.63,477.01,227.01
80,0.351017,26,3.69,95.84,-154.16
130,0.351392,45,7.70,346.31,96.31
97,0.652623,65,5.25,341.34,91.34
151,0.546515,75,5.07,380.35,130.35
112,0.575118,61,3.53,215.20,-34.80
108,0.622979,68,4.50,306.28,56.28
119,0.521314,65,4.15,269.63,19.63
95,0.530823,50,4.67,233.37,-16.63
112,0.307109,38,6.68,253.99,3.99
157,0.428304,56,3.67,205.51,-44.49
160,0.428979,69,3.68,253.93,3.93
88,0.579985,51,5.12,261.33,11.33
95,0.354800,34,7.55,256.68,6.68
108,0.581090,61,5.43,331.20,81.20
163,0.626326,105,6.18,648.52,398.52
174,0.512538,104,6.94,721.52,471.52
135,0.474109,60,3.27,195.97,-54.03
170,0.597975,111,5.92,657.49,407.49
148,0.309575,48,4.28,205.27,-44.73
144,0.363650,53,4.81,254.92,4.92
100,0.387836,39,6.34,247.39,-2.61
141,0.432681,62,3.96,245.72,-4.28
86,0.529637,47,5.28,248.37,-1.63
148,0.566008,80,6.81,544.83,294.83
136,0.629985,97,3.58,347.31,97.31
179,0.462341,91,7.02,639.01,389.01
92,0.567484,49,7.46,365.36,115.36
124,0.693963,85,3.94,334.97,84.97
141,0.679866,93,4.84,450.21,200.21
118,0.520536,59,6.97,411.28,161.28
177,0.515720,81,6.66,539.12,289.12
116,0.673670,69,3.46,238.65,-11.35
86,0.446972,40,7.88,315.31,65.31
130,0.497292,67,3.49,233.72,-16.28
151,0.545331,86,4.35,374.26,124.26
163,0.572059,98,6.27,614.11,364.11
140,0.339558,43,5.77,248.04,-1.96
142,0.626979,81,5.75,466.02,216.02
112,0.618059,69,3.22,222.33,-27.67
152,0.505833,80,6.30,504.09,254.09
123,0.475380,65,5.90,383.25,133.25
100,0.540593,62,5.47,338.98,88.98
180,0.320218,49,3.75,183.80,-66.20
83,0.580740,49,5.01,245.25,-4.75
177,0.658962,126,4.33,545.69,295.69
167,0.658224,102,4.57,466.52,216.52
176,0.459131,82,4.59,376.64,126.64
86,0.603869,58,7.96,461.71,211.71
112,0.546932,55,5.59,307.49,57.49
128,0.649616,95,5.00,474.98,224.98
137,0.307219,41,6.63,271.67,21.67
128,0.649307,81,3.63,294.34,44.34
179,0.677157,117,7.03,822.84,572.84
96,0.499379,42,3.27,137.32,-112.68
153,0.601291,90,7.58,681.80,431.80
112,0.642941,74,5.76,426.54,176.54
176,0.490304,86,6.69,575.07,325.07
138,0.521158,74,6.58,486.68,236.68
86,0.539900,41,6.04,247.78,-2.22
112,0.597560,69,4.37,301.53,51.53
93,0.613510,59,4.01,236.39,-13.61
168,0.443834,80,3.00,240.35,-9.65
107,0.347831,39,4.26,166.04,-83.96
148,0.343135,55,7.69,423.18,173.18
121,0.342337,40,7.79,311.70,61.70
167,0.588497,109,3.26,355.69,105.69
163,0.404223,68,4.84,328.99,78.99
108,0.437507,43,7.92,340.69,90.69
174,0.558592,100,4.17,416.62,166.62
136,0.347475,45,5.32,239.34,-10.66
116,0.452887,56,4.97,278.16,28.16
115,0.683038,82,5.89,482.65,232.65
94,0.499823,47,6.80,319.79,69.79
142,0.642296,92,6.37,586.44,336.44
172,0.486340,94,7.22,678.22,428.22
127,0.450439,58,3.45,199.88,-50.12
160,0.607778,97,3.10,300.56,50.56
133,0.453358,62,6.43,398.59,148.59
165,0.526890,87,5.84,508.44,258.44
130,0.432496,65,6.89,447.77,197.77
169,0.498901,78,3.00,234.34,-15.66
168,0.611269,102,4.83,492.55,242.55
108,0.388729,41,3.71,152.08,-97.92
102,0.411813,45,4.89,220.25,-29.75
174,0.666458,123,7.94,976.82,726.82
102,0.447535,48,3.39,162.50,-87.50
112,0.372499,39,6.06,236.43,-13.57
162,0.410564,58,3.72,216.04,-33.96
145,0.615479,87,3.35,291.88,41.88
123,0.504413,58,7.13,413.70,163.70
104,0.328879,37,3.15,116.71,-133.29
155,0.357483,54,3.96,213.75,-36.25
119,0.656550,85,6.21,527.99,277.99
110,0.491906,52,7.93,412.32,162.32
155,0.356982,49,3.86,188.94,-61.06
149,0.401840,59,5.04,297.51,47.51
149,0.448058,67,4.16,278.57,28.57
95,0.696171,72,4.70,338.73,88.73
169,0.641394,106,4.07,431.01,181.01
120,0.381983,43,4.08,175.41,-74.59
146,0.459647,73,7.29,532.11,282.11
123,0.305838,50,4.03,201.62,-48.38
88,0.609843,54,6.15,331.84,81.84
102,0.417749,39,5.89,229.72,-20.28
135,0.643179,88,4.56,401.15,151.15
118,0.420170,47,4.69,220.44,-29.56
82,0.471543,39,3.32,129.40,-120.60
146,0.414255,56,6.58,368.23,118.23
157,0.371408,48,7.85,377.00,127.00
162,0.300008,52,6.07,315.87,65.87
168,0.524040,80,7.01,560.82,310.82
108,0.404489,49,6.60,323.55,73.55
85,0.615738,58,7.28,422.31,172.31
106,0.423210,45,4.32,194.50,-55.50
166,0.362293,57,7.16,407.90,157.90
108,0.609752,73,3.57,260.38,10.38
132,0.561927,77,6.71,516.33,266.33
106,0.637732,70,6.01,420.46,170.46
99,0.469937,50,3.68,183.90,-66.10
142,0.526457,75,3.35,251.17,1.17
93,0.588961,57,6.59,375.38,125.38
175,0.588919,99,3.48,344.19,94.19
100,0.638385,65,6.32,410.82,160.82
114,0.416052,50,6.62,330.95,80.95
159,0.409044,67,3.74,250.43,0.43
142,0.518260,73,6.51,475.46,225.46
92,0.471529,47,6.72,315.66,65.66
124,0.412706,56,4.17,233.65,-16.35
91,0.644313,59,3.51,207.29,-42.71
132,0.317966,39,7.04,274.69,24.69
171,0.452402,77,3.89,299.65,49.65
86,0.556607,46,4.45,204.47,-45.53
88,0.522074,48,4.08,195.65,-54.35
149,0.484095,69,4.13,285.08,35.08
146,0.458062,71,5.61,398.48,148.48
153,0.652489,101,3.94,398.23,148.23
151,0.582459,92,4.13,380.33,130.33
105,0.402640,44,4.87,214.19,-35.81
163,0.418409,75,6.95,521.15,271.15
138,0.586154,86,5.36,460.63,210.63
87,0.573028,53,5.56,294.66,44.66
103,0.446315,48,6.62,317.86,67.86
131,0.524964,65,3.95,256.74,6.74
165,0.661981,115,4.78,550.05,300.05
167,0.465728,73,6.64,484.44,234.44
96,0.534417,65,6.63,431.11,181.11
177,0.568055,101,5.92,597.96,347.96
83,0.661052,54,3.44,185.68,-64.32
106,0.431587,41,6.75,276.73,26.73
119,0.481400,68,5.22,355.14,105.14
123,0.611950,82,5.42,444.07,194.07
98,0.548821,48,3.06,147.07,-102.93
141,0.371247,46,7.97,366.66,116.66
177,0.620854,107,6.00,642.22,392.22
175,0.480077,88,3.92,345.22,95.22
136,0.523811,76,6.26,475.74,225.74
117,0.313237,37,3.54,131.13,-118.87
148,0.412571,61,6.46,393.95,143.95
95,0.665971,66,3.44,227.10,-22.90
85,0.346939,37,5.43,200.88,-49.12
166,0.434409,75,5.36,401.79,151.79
142,0.397582,61,7.75,473.05,223.05
137,0.646781,93,3.20,297.32,47.32
139,0.452710,69,4.12,284.60,34.60
180,0.582762,110,3.48,383.04,133.04
165,0.340170,50,7.57,378.72,128.72
125,0.580183,59,5.89,347.55,97.55
98,0.479913,38,6.60,250.71,0.71
134,0.310356,52,4.01,208.53,-41.47
166,0.515982,77,7.21,555.04,305.04
138,0.427135,62,5.39,334.45,84.45
178,0.571216,107,7.49,801.59,551.59
