attendance,purchase_rate,customers,purchase_amount,revenue,profit
168,0.584372,100,6.30,630.50,380.50
159,0.624714,102,4.31,439.88,189.88
179,0.605323,110,5.16,567.86,317.86
89,0.400788,43,6.70,287.90,37.90
167,0.389618,63,5.49,345.70,95.70
117,0.545634,63,3.21,201.97,-48.03
130,0.425431,60,7.09,425.51,175.51
116,0.370846,40,7.46,298.30,48.30
82,0.465047,30,6.94,208.20,-41.80
96,0.543807,54,7.59,409.69,159.69
126,0.354867,52,7.60,394.95,144.95
149,0.347556,56,7.07,396.17,146.17
90,0.553002,55,5.15,283.07,33.07
102,0.387797,37,3.58,132.57,-117.43
159,0.398949,63,5.77,363.46,113.46
174,0.541909,106,3.13,332.26,82.26
99,0.665225,62,3.41,211.61,-38.39
136,0.484224,72,3.00,216.10,-33.90
154,0.689579,106,3.11,329.50,79.50
142,0.454003,62,6.80,421.80,171.80
121,0.372809,48,5.61,269.36,19.36
134,0.338007,47,7.34,344.83,94.83
88,0.471483,51,7.96,406.13,156.13
180,0.523675,91,7.52,684.67,434.67
170,0.417427,60,6.45,386.98,136.98
138,0.578472,89,4.39,390.45,140.45
82,0.573811,48,4.03,193.56,-56.44
149,0.303448,48,6.05,290.60,40.60
160,0.375175,58,4.71,273.32,23.32
174,0.470793,85,3.58,304.67,54.67
122,0.523729,64,7.27,465.46,215.46
92,0.625835,66,4.02,265.06,15.06
105,0.564518,69,7.10,489.72,239.72
151,0.341032,48,3.44,165.32,-84.68
171,0.347212,66,3.12,205.77,-44.23
90,0.549011,55,5.39,296.61,46.61
84,0.644916,50,5.23,261.44,11.44
116,0.549247,64,7.09,454.01,204.01
103,0.317752,30,3.94,118.32,-131.68
142,0.481920,65,3.03,197.05,-52.95
138,0.630744,85,7.20,611.98,361.98
124,0.645729,80,5.78,462.61,212.61
136,0.659610,78,6.31,492.28,242.28
115,0.585726,67,4.30,288.02,38.02
147,0.324096,41,5.72,234.60,-15.40
128,0.409973,60,3.71,222.63,-27.37
167,0.419548,79,3.10,245.24,-4.76
115,0.545545,67,6.10,408.95,158.95
109,0.345533,37,7.48,276.86,26.86
166,0.307664,50,3.97,198.39,-51.61
102,0.616509,60,6.66,399.75,149.75
162,0.535890,84,6.33,531.67,281.67
148,0.490805,80,5.13,410.73,160.73
149,0.330735,48,4.93,236.84,-13.16
164,0.475355,90,5.74,516.79,266.79
110,0.346694,40,7.41,296.24,46.24
98,0.310482,27,6.49,175.27,-74.73
163,0.443497,72,4.57,329.37,79.37
159,0.553439,89,5.90,525.42,275.42
170,0.399924,71,5.27,374.10,124.10
93,0.539688,58,4.03,233.63,-16.37
157,0.556427,91,6.89,626.68,376.68
170,0.535134,93,5.07,471.06,221.06
175,0.388986,67,4.91,328.96,78.96
134,0.307471,44,3.02,133.07,-116.93
172,0.514106,85,3.57,303.47,53.47
146,0.379050,62,7.99,495.65,245.65
132,0.664381,93,3.65,339.09,89.09
131,0.558635,62,5.07,314.12,64.12
169,0.654756,121,4.82,582.88,332.88
166,0.312153,50,4.72,235.86,-14.14
126,0.656153,76,5.78,439.56,189.56
133,0.421077,57,7.94,452.65,202.65
138,0.434017,57,6.65,379.04,129.04
99,0.504188,49,5.45,267.28,17.28
99,0.307850,27,3.24,87.41,-162.59
164,0.509233,96,3.56,341.85,91.85
155,0.395841,62,6.05,374.86,124.86
128,0.520684,68,3.28,222.91,-27.09
149,0.463898,75,5.87,440.57,190.57
139,0.482704,73,5.86,427.96,177.96
122,0.501014,62,7.57,469.34,219.34
92,0.367004,36,5.10,183.74,-66.26
111,0.486239,50,5.32,265.79,15.79
98,0.447501,52,4.74,246.55,-3.45
119,0.644639,84,7.85,659.72,409.72
129,0.474688,52,3.05,158.68,-91.32
101,0.603436,65,3.32,215.90,-34.10
132,0.515944,60,4.83,289.98,39.98
116,0.557524,68,7.26,493.76,243.76
146,0.517463,74,7.71,570.87,320.87
127,0.383424,50,3.12,156.14,-93.86
163,0.644011,98,6.07,594.76,344.76
137,0.470947,63,6.61,416.57,166.57
157,0.381306,60,5.35,321.28,71.28
126,0.637607,77,6.30,484.91,234.91
83,0.434061,37,7.35,272.11,22.11
117,0.543181,67,4.69,313.91,63.91
80,0.587390,47,6.69,314.66,64.66
110,0.497452,50,4.65,232.71,-17.29
87,0.453574,35,7.98,279.42,29.42
139,0.402673,52,7.99,415.41,165.41
93,0.372239,36,4.15,149.32,-100.68
91,0.603805,52,4.95,257.45,7.45
171,0.584628,93,7.87,732.33,482.33
111,0.599097,67,4.24,284.20,34.20
142,0.692260,95,3.74,354.83,104.83
109,0.351489,38,7.20,273.46,23.46
139,0.658450,88,7.45,655.22,405.22
141,0.552527,78,6.39,498.54,248.54
115,0.379400,49,5.67,277.97,27.97
93,0.322897,31,3.86,119.60,-130.40
143,0.480270,70,5.30,370.94,120.94
148,0.569840,97,6.57,637.31,387.31
177,0.428643,76,6.32,480.07,230.07
161,0.418282,72,3.87,278.77,28.77
117,0.609589,76,4.32,328.28,78.28
139,0.572635,84,4.54,381.27,131.27
138,0.503405,74,6.84,506.45,256.45
121,0.581068,66,4.72,311.54,61.54
157,0.535137,84,3.34,280.52,30.52
116,0.554907,64,5.32,340.40,90.40
142,0.336982,47,3.24,152.13,-97.87
83,0.571091,45,4.69,211.19,-38.81
86,0.360534,29,5.53,160.41,-89.59
110,0.507964,54,3.81,205.68,-44.32
130,0.405145,56,3.72,208.19,-41.81
180,0.463605,79,4.22,333.50,83.50
140,0.589883,79,7.40,584.33,334.33
169,0.440740,81,5.85,473.62,223.62
168,0.369967,55,6.10,335.40,85.40
130,0.413812,54,3.94,212.80,-37.20
156,0.604493,93,5.86,545.00,295.00
92,0.604662,60,3.71,222.53,-27.47
174,0.664410,112,5.19,581.59,331.59
119,0.553648,62,7.70,477.14,227.14
113,0.338811,39,5.21,203.08,-46.92
176,0.608929,111,3.48,385.77,135.77
87,0.371252,35,3.07,107.34,-142.66
150,0.676803,100,6.90,689.82,439.82
103,0.430147,42,3.80,159.63,-90.37
168,0.477356,72,6.89,495.84,245.84
130,0.600746,74,5.56,411.13,161.13
94,0.617683,51,5.09,259.61,9.61
154,0.664187,101,3.41,344.90,94.90
86,0.562109,44,4.77,209.96,-40.04
89,0.614117,45,5.00,224.83,-25.17
157,0.445130,84,4.80,403.58,153.58
92,0.595218,53,5.26,278.62,28.62
121,0.550822,68,6.88,467.84,217.84
96,0.469540,44,3.95,173.77,-76.23
103,0.601770,65,6.30,409.64,159.64
95,0.697903,66,5.31,350.19,100.19
104,0.630910,63,4.52,284.85,34.85
162,0.616065,94,5.71,536.30,286.30
179,0.699775,134,4.70,629.17,379.17
171,0.629332,107,5.41,579.40,329.40
107,0.303554,36,7.25,260.99,10.99
